p,a,y_emp,y_pred,type
0.3,1.2676767676767677,,8.552060089917721e-05,pred_curve
0.3,1.287878787878788,,8.676954295114246e-05,pred_curve
0.3,1.3080808080808082,,8.801521365248161e-05,pred_curve
0.3,1.3282828282828283,,8.9257625839344e-05,pred_curve
0.3,1.3484848484848486,,9.049679228081113e-05,pred_curve
0.3,1.3686868686868687,,9.17327256793343e-05,pred_curve
0.3,1.3888888888888888,,9.29654386711686e-05,pred_curve
0.3,1.4090909090909092,,9.419494382680356e-05,pred_curve
0.3,1.4292929292929295,,9.542125365139041e-05,pred_curve
0.3,1.4494949494949496,,9.6644380585166e-05,pred_curve
0.3,1.4696969696969697,,9.786433700387363e-05,pred_curve
0.3,1.48989898989899,,9.908113521918034e-05,pred_curve
0.3,1.5101010101010102,,0.00010029478747909104,pred_curve
0.3,1.5303030303030305,,0.00010150530596835956,pred_curve
0.3,1.5505050505050506,,0.00010271270280889635,pred_curve
0.3,1.5707070707070707,,0.00010391699006017311,pred_curve
0.3,1.590909090909091,,0.00010511817971962435,pred_curve
0.3,1.6111111111111112,,0.00010631628372304573,pred_curve
0.3,1.6313131313131315,,0.00010751131394498944,pred_curve
0.3,1.6515151515151516,,0.00010870328219915653,pred_curve
0.3,1.6717171717171717,,0.00010989220023878615,pred_curve
0.3,1.691919191919192,,0.00011107807975704183,pred_curve
0.3,1.7121212121212122,,0.0001122609323873949,pred_curve
0.3,1.7323232323232325,,0.00011344076970400492,pred_curve
0.3,1.7525252525252526,,0.00011461760322209707,pred_curve
0.3,1.772727272727273,,0.00011579144439833695,pred_curve
0.3,1.792929292929293,,0.00011696230463120222,pred_curve
0.3,1.8131313131313131,,0.00011813019526135157,pred_curve
0.3,1.8333333333333335,,0.00011929512757199094,pred_curve
0.3,1.8535353535353536,,0.0001204571127892368,pred_curve
0.3,1.873737373737374,,0.00012161616208247688,pred_curve
0.3,1.893939393939394,,0.0001227722865647279,pred_curve
0.3,1.9141414141414144,,0.00012392549729299077,pred_curve
0.3,1.9343434343434345,,0.00012507580526860325,pred_curve
0.3,1.9545454545454546,,0.0001262232214375896,pred_curve
0.3,1.974747474747475,,0.0001273677566910079,pred_curve
0.3,1.994949494949495,,0.0001285094218652945,pred_curve
0.3,2.0151515151515156,,0.00012964822774260616,pred_curve
0.3,2.0353535353535355,,0.00013078418505115943,pred_curve
0.3,2.0555555555555554,,0.0001319173044655675,pred_curve
0.3,2.075757575757576,,0.00013304759660717473,pred_curve
0.3,2.095959595959596,,0.00013417507204438814,pred_curve
0.3,2.1161616161616164,,0.00013529974129300736,pred_curve
0.3,2.1363636363636367,,0.000136421614816551,pred_curve
0.3,2.1565656565656566,,0.00013754070302658157,pred_curve
0.3,2.176767676767677,,0.0001386570162830273,pred_curve
0.3,2.1969696969696972,,0.000139770564894502,pred_curve
0.3,2.217171717171717,,0.0001408813591186222,pred_curve
0.3,2.2373737373737375,,0.00014198940916232232,pred_curve
0.3,2.257575757575758,,0.00014309472518216727,pred_curve
0.3,2.2777777777777777,,0.00014419731728466253,pred_curve
0.3,2.2979797979797985,,0.0001452971955265625,pred_curve
0.3,2.3181818181818183,,0.00014639436991517607,pred_curve
0.3,2.3383838383838382,,0.00014748885040867022,pred_curve
0.3,2.358585858585859,,0.00014858064691637132,pred_curve
0.3,2.378787878787879,,0.00014966976929906397,pred_curve
0.3,2.3989898989898992,,0.00015075622736928818,pred_curve
0.3,2.4191919191919196,,0.00015184003089163388,pred_curve
0.3,2.4393939393939394,,0.00015292118958303336,pred_curve
0.3,2.45959595959596,,0.00015399971311305208,pred_curve
0.3,2.47979797979798,,0.0001550756111041764,pred_curve
0.3,2.5,,0.0001561488931321001,pred_curve
0.4,0.5,4.591067992661623e-05,3.9532772683139504e-05,observed
0.4,0.7,5.839957954228234e-05,5.5039967185920755e-05,observed
0.4,0.9,7.148945962372418e-05,7.037667746146452e-05,observed
0.4,1.1,8.454038653276584e-05,8.554569956459384e-05,observed
0.4,1.3,9.929534591504746e-05,0.00010054976873969503,observed
0.4,1.5,0.0001132572667721,0.00011539156106495919,observed
0.4,1.7,0.0001268105016102,0.00013007369504356093,observed
0.4,1.9,0.0001427944289594,0.0001445987331437609,observed
0.4,2.1,0.000158186521869,0.00015896918328983547,observed
0.4,2.3,0.0001750556154654,0.0001731875003056546,observed
0.4,2.5,0.0001896336231887,0.00018725608731265416,observed
0.4,0.5,,3.9532772683139504e-05,pred_curve
0.4,0.5202020202020202,,4.110697820550264e-05,pred_curve
0.4,0.5404040404040404,,4.267941813379993e-05,pred_curve
0.4,0.5606060606060606,,4.42500954367434e-05,pred_curve
0.4,0.5808080808080808,,4.5819013076393256e-05,pred_curve
0.4,0.601010101010101,,4.738617400817645e-05,pred_curve
0.4,0.6212121212121212,,4.895158118090533e-05,pred_curve
0.4,0.6414141414141414,,5.051523753679609e-05,pred_curve
0.4,0.6616161616161617,,5.2077146011487165e-05,pred_curve
0.4,0.6818181818181819,,5.363730953405773e-05,pred_curve
0.4,0.702020202020202,,5.519573102704585e-05,pred_curve
0.4,0.7222222222222222,,5.675241340646682e-05,pred_curve
0.4,0.7424242424242424,,5.830735958183137e-05,pred_curve
