a,p,y_emp,y_pred,type
0.5,0.8090909090909091,,5.092547353457626e-05,pred_curve
0.5,0.8181818181818181,,5.1006101690375636e-05,pred_curve
0.5,0.8272727272727273,,5.108520513694761e-05,pred_curve
0.5,0.8363636363636363,,5.1162826718443475e-05,pred_curve
0.5,0.8454545454545453,,5.1239007688689646e-05,pred_curve
0.5,0.8545454545454545,,5.131378778429795e-05,pred_curve
0.5,0.8636363636363635,,5.1387205293779495e-05,pred_curve
0.5,0.8727272727272727,,5.145929712291454e-05,pred_curve
0.5,0.8818181818181817,,5.153009885661304e-05,pred_curve
0.5,0.8909090909090909,,5.159964481748357e-05,pred_curve
0.5,0.8999999999999999,,5.1667968121313244e-05,pred_curve
0.5,0.9090909090909091,,5.173510072964702e-05,pred_curve
0.5,0.9181818181818181,,5.180107349964182e-05,pred_curve
0.5,0.9272727272727272,,5.186591623135877e-05,pred_curve
0.5,0.9363636363636363,,5.1929657712645926e-05,pred_curve
0.5,0.9454545454545454,,5.199232576175348e-05,pred_curve
0.5,0.9545454545454545,,5.205394726781394e-05,pred_curve
0.5,0.9636363636363636,,5.2114548229311065e-05,pred_curve
0.5,0.9727272727272727,,5.2174153790653266e-05,pred_curve
0.5,0.9818181818181817,,5.223278827695935e-05,pred_curve
0.5,0.9909090909090909,,5.229047522715797e-05,pred_curve
0.5,1.0,,5.234723742549522e-05,pred_curve
0.7,0.1,2.77373599354139e-05,2.995151933270123e-05,observed
0.7,0.2,4.3504924278371466e-05,4.380300535279197e-05,observed
0.7,0.3,5.2521593022664145e-05,5.178606051742639e-05,observed
0.7,0.4,5.839957954228234e-05,5.697816843481082e-05,observed
0.7,0.5,6.1687657061471e-05,6.062516201426309e-05,observed
0.7,0.6,6.443378957540591e-05,6.332742156617486e-05,observed
0.7,0.7,6.654350306785097e-05,6.540994499832626e-05,observed
0.7,0.8,6.709339444868157e-05,6.706399555100904e-05,observed
0.7,0.9,6.699736862920131e-05,6.840947409676588e-05,observed
0.7,1.0,6.728270541809291e-05,6.952536207558487e-05,observed
0.7,0.1,,2.995151933270123e-05,pred_curve
0.7,0.1090909090909091,,3.161790004859193e-05,pred_curve
0.7,0.1181818181818182,,3.3179895332081066e-05,pred_curve
0.7,0.1272727272727273,,3.4647015674510635e-05,pred_curve
0.7,0.13636363636363635,,3.6027650293527576e-05,pred_curve
0.7,0.14545454545454545,,3.7329227647730854e-05,pred_curve
0.7,0.15454545454545454,,3.855834914486026e-05,pred_curve
0.7,0.16363636363636364,,3.9720901124981924e-05,pred_curve
0.7,0.17272727272727273,,4.082214912829916e-05,pred_curve
0.7,0.18181818181818182,,4.186681763319687e-05,pred_curve
0.7,0.19090909090909092,,4.2859157811848236e-05,pred_curve
0.7,0.2,,4.380300535279197e-05,pred_curve
0.7,0.2090909090909091,,4.470183000884934e-05,pred_curve
0.7,0.2181818181818182,,4.555877821969495e-05,pred_curve
0.7,0.22727272727272727,,4.637670991266047e-05,pred_curve
0.7,0.23636363636363636,,4.715823038884179e-05,pred_curve
0.7,0.24545454545454545,,4.790571804357942e-05,pred_curve
0.7,0.2545454545454545,,4.8621348542683675e-05,pred_curve
0.7,0.26363636363636367,,4.930711597205771e-05,pred_curve
0.7,0.2727272727272727,,4.996485139373099e-05,pred_curve
0.7,0.28181818181818186,,5.059623917193344e-05,pred_curve
0.7,0.2909090909090909,,5.120283137571896e-05,pred_curve
0.7,0.3,,5.178606051742639e-05,pred_curve
0.7,0.3090909090909091,,5.234725084707378e-05,pred_curve
0.7,0.3181818181818182,,5.2887628390131925e-05,pred_curve
0.7,0.32727272727272727,,5.3408329888821956e-05,pred_curve
0.7,0.33636363636363636,,5.391041078417397e-05,pred_curve
0.7,0.34545454545454546,,5.439485235679843e-05,pred_curve
0.7,0.3545454545454545,,5.486256812803193e-05,pred_curve
0.7,0.36363636363636365,,5.531440960931759e-05,pred_curve
0.7,0.3727272727272727,,5.5751171475951475e-05,pred_curve
0.7,0.38181818181818183,,5.617359623133009e-05,pred_curve
0.7,0.3909090909090909,,5.658237841929014e-05,pred_curve
0.7,0.4,,5.697816843481082e-05,pred_curve
0.7,0.40909090909090906,,5.736157597705719e-05,pred_curve
0.7,0.4181818181818182,,5.773317318332509e-05,pred_curve
0.7,0.42727272727272725,,5.8093497477768386e-05,pred_curve
0.7,0.4363636363636364,,5.844305416473983e-05,pred_curve
0.7,0.44545454545454544,,5.8782318793063386e-05,pred_curve
0.7,0.4545454545454546,,5.911173931450124e-05,pred_curve
0.7,0.4636363636363636,,5.9431738057017446e-05,pred_curve
0.7,0.47272727272727266,,5.974271353111636e-05,pred_curve
0.7,0.4818181818181818,,6.0045042085500976e-05,pred_curve
0.7,0.49090909090909085,,6.0339079426514525e-05,pred_curve
