param,distance
0.48,1.304657508343132
0.48,1.2047877361416977
0.48,1.2553582898600648
0.48,1.2669705365488497
0.48,1.2896606708349494
0.48,1.0877626385959813
0.48,1.2518472110669068
0.48,1.1997132349805137
0.48,1.6239692295929369
0.48,1.1701560654124756
0.48,1.4522882233695567
0.48,1.3654263111952483
0.48,1.6196294414758547
0.48,1.2432317435205855
0.48,1.5355067733819987
0.48,1.2706818352662475
0.48,1.373346266250788
0.48,1.3830183686799227
0.48,1.4017332697398261
0.48,1.6230409092789142
0.48,1.3401608155606433
0.48,1.2679237424984782
0.48,1.3203550376472195
0.48,1.3011446565455522
0.48,1.4805141398361488
0.48,1.3611379312404417
0.48,1.2878467242643523
0.48,1.3665955293271854
0.48,1.2427712284965862
0.48,1.2303998162672236
0.48,1.567243301431956
0.48,1.1852111625251303
0.48,1.2421687999608304
0.48,1.3604250738238846
0.48,1.1541865161211344
0.49,1.1368033107105961
0.49,1.1119593486500663
0.49,1.2293262862732388
0.49,1.4057874073308179
0.49,1.3009695617577681
0.49,1.3770854467065188
0.49,1.140563531816813
0.49,1.196369955677778
0.49,1.313635162599056
0.49,1.1743407822239074
0.49,1.3222126647804449
0.49,1.1924023100405339
0.49,1.1042893155398523
0.49,1.4101757434268034
0.49,1.1751094149990058
0.49,1.1925816753385556
0.49,1.181287631255388
0.49,1.025068526798561
0.49,1.369295330266669
0.49,1.2638322053790338
0.49,1.2500602933713931
0.49,1.2124646365009444
0.49,1.1504963764781921
0.49,1.185564974921391
0.49,1.2304087506685253
0.49,1.284590864586795
0.49,1.3247318129614811
0.49,1.272495510952213
0.49,1.1785082097279491
0.49,1.2849881098691747
0.49,1.4890871703177178
0.49,1.3414091303344835
0.49,1.2205614562258802
0.49,1.2911090090483353
0.49,1.3045945785747537
0.49,1.2687990124971318
0.49,1.2392437394516147
0.49,1.193783543155996
0.49,1.1619774391501956
0.49,1.1314631119274157
0.49,1.1815625007876283
0.49,1.3206618866778155
0.49,1.2012586692798268
0.49,1.4795590230330662
0.49,1.3258438520949047
0.49,1.1960294521962564
0.49,1.3919857615382896
0.49,1.3688703867006975
0.49,1.4821772860677944
0.49,1.787264559248279
0.49,1.1447986703041226
0.49,1.241515133013705
0.49,1.4120598032232359
0.49,1.4555239462206557
0.49,1.2075749814823415
0.49,1.0769062499222928
0.49,1.3522739306237297
0.49,1.4520351773846767
0.49,1.1712380117278867
0.49,1.3749236360740233
0.49,1.2893660817291182
0.49,1.4293123532673444
0.49,1.1440666955303336
0.49,1.1857092201286732
0.49,1.2820281285816872
0.49,1.4164589792580449
0.49,1.3507287261913339
0.49,1.6358175915467026
0.49,0.9946437139240166
0.49,1.4335714269951334
0.49,1.2325742533933608
0.49,1.1556745878885846
0.49,1.2978211356698053
0.49,1.259022416558861
0.49,1.392860785485019
0.49,1.142755186724188
0.49,1.378038054373094
0.49,1.1332814217849596
0.49,1.58161626865979
0.49,1.583129018767023
0.49,1.168389061849259
0.49,1.224645823709086
0.49,1.2822829222578223
0.49,1.4158521812964489
0.49,1.2326701656937815
0.49,1.1184998044552212
0.49,1.1326335373062721
0.49,1.1437829384064706
0.49,1.2385971952690893
0.49,1.2914055893159357
0.49,1.2104976235447127
0.49,1.1477627483659085
0.49,1.5676619850055653
0.49,1.141066668197295
0.49,1.2030582405644876
0.49,1.2374102449434237
0.49,1.153640449252143
0.49,1.2066368934071883
0.49,1.2560604652596308
0.49,1.1895769908553249
0.5,1.2230913686541305
0.5,1.2188380907787184
0.5,1.295246744829262
0.5,1.3147649419231977
0.5,1.147285310344408
0.5,1.1101104279612624
0.5,1.044753874376968
0.5,1.3059399302078278
0.5,1.3261620507478513
0.5,1.2125986198740215
0.5,1.304372041879518
0.5,1.6512023818745134
0.5,1.2501359718479104
0.5,0.985134567429602
0.5,1.5062258440119807
0.5,1.1526565121560828
0.5,1.1733744614999058
0.5,1.3199590777010148
0.5,1.3866427969050485
0.5,1.478980340267745
0.5,1.3031776971640963
0.5,1.2633016941268052
0.5,1.3829478444852594
0.5,1.0402384962009155
0.5,1.2588522096121686
0.5,1.2726666491943932
0.5,1.6228964386346276
0.5,1.2335288515551153
0.5,1.2452392981157676
0.5,1.2659284444300616
0.5,1.1733365618856901
0.5,1.3278923070143522
0.5,1.2348863953354876
0.5,1.159364558562845
0.5,1.1714434560869982
0.5,1.2944011526073618
