model,metric,time,mean,ci_low,ci_high
isotropic,S1,115.0,1419.82,1413.7640302529344,1425.8759697470655
isotropic,S1,116.0,1427.24,1421.1085871486305,1433.3714128513695
isotropic,S1,117.0,1434.22,1427.9816490762316,1440.4583509237684
isotropic,S1,118.0,1441.31,1435.140318098143,1447.4796819018568
isotropic,S1,119.0,1448.61,1442.3686444907917,1454.8513555092081
isotropic,S1,120.0,1455.85,1449.5327285681685,1462.1672714318313
isotropic,S1,121.0,1463.49,1457.17315118849,1469.80684881151
isotropic,S1,122.0,1470.81,1464.403474193331,1477.2165258066689
isotropic,S1,123.0,1478.23,1471.8273421212182,1484.6326578787819
isotropic,S1,124.0,1485.71,1479.2946008418821,1492.125399158118
isotropic,S1,125.0,1493.09,1486.6931483982708,1499.486851601729
isotropic,S1,126.0,1500.63,1494.1676325780281,1507.092367421972
isotropic,S1,127.0,1508.53,1501.987380786927,1515.072619213073
isotropic,S1,128.0,1516.07,1509.4729945145275,1522.6670054854724
isotropic,S1,129.0,1523.77,1517.2294332224712,1530.3105667775287
isotropic,S1,130.0,1531.45,1524.705755414407,1538.1942445855932
isotropic,S1,131.0,1539.29,1532.5065191666397,1546.0734808333602
isotropic,S1,132.0,1546.6,1539.7553748049577,1553.4446251950421
isotropic,S1,133.0,1554.67,1547.782532686279,1561.5574673137212
isotropic,S1,134.0,1562.59,1555.6681922581924,1569.5118077418074
isotropic,S1,135.0,1570.16,1563.1927292888809,1577.1272707111193
isotropic,S1,136.0,1578.24,1571.2445823224605,1585.2354176775395
isotropic,S1,137.0,1586.41,1579.34223578346,1593.4777642165402
isotropic,S1,138.0,1594.33,1587.2694339184795,1601.3905660815203
isotropic,S1,139.0,1602.41,1595.3545447404442,1609.465455259556
isotropic,S1,140.0,1610.24,1603.1359817062753,1617.3440182937247
isotropic,S1,141.0,1618.63,1611.54296042134,1625.7170395786602
isotropic,S1,142.0,1627.04,1619.8984023874912,1634.1815976125088
isotropic,S1,143.0,1635.36,1628.1829226731238,1642.537077326876
isotropic,S1,144.0,1643.26,1636.1210272618562,1650.3989727381438
isotropic,S1,145.0,1651.17,1644.007939982481,1658.332060017519
persistent 0.25,S1,0.0,800.0,800.0,800.0
persistent 0.25,S1,1.0,803.83,803.4572250691223,804.2027749308778
persistent 0.25,S1,2.0,807.94,807.446492473014,808.4335075269861
persistent 0.25,S1,3.0,811.65,811.0426044006239,812.2573955993761
persistent 0.25,S1,4.0,816.05,815.3292440836808,816.7707559163191
persistent 0.25,S1,5.0,820.43,819.5555644697488,821.3044355302511
persistent 0.25,S1,6.0,824.94,823.9302324587943,825.9497675412058
persistent 0.25,S1,7.0,829.12,828.0273749108434,830.2126250891566
persistent 0.25,S1,8.0,833.21,832.0448415227225,834.3751584772775
persistent 0.25,S1,9.0,837.68,836.4233252947769,838.936674705223
persistent 0.25,S1,10.0,842.03,840.7780973407317,843.2819026592682
persistent 0.25,S1,11.0,846.11,844.8514693325914,847.3685306674087
persistent 0.25,S1,12.0,850.73,849.4989137778106,851.9610862221895
persistent 0.25,S1,13.0,854.75,853.4455996927261,856.0544003072739
persistent 0.25,S1,14.0,859.17,857.7776306010866,860.5623693989133
persistent 0.25,S1,15.0,863.55,862.0679069809314,865.0320930190685
persistent 0.25,S1,16.0,867.86,866.3239983143949,869.3960016856051
persistent 0.25,S1,17.0,872.21,870.5781414900906,873.8418585099095
persistent 0.25,S1,18.0,876.48,874.7782567720901,878.1817432279099
persistent 0.25,S1,19.0,880.75,878.9908737361629,882.5091262638371
persistent 0.25,S1,20.0,885.07,883.2327810868192,886.9072189131809
persistent 0.25,S1,21.0,889.71,887.7570816620382,891.6629183379619
persistent 0.25,S1,22.0,894.16,892.1455747115298,896.1744252884702
persistent 0.25,S1,23.0,898.66,896.6452857860132,900.6747142139867
persistent 0.25,S1,24.0,903.36,901.2779781761107,905.4420218238894
persistent 0.25,S1,25.0,908.01,905.8850006349614,910.1349993650385
persistent 0.25,S1,26.0,912.76,910.5986755186841,914.9213244813159
persistent 0.25,S1,27.0,917.58,915.4143601366392,919.7456398633609
persistent 0.25,S1,28.0,922.42,920.1895700696181,924.6504299303818
persistent 0.25,S1,29.0,927.14,924.8386979867997,929.4413020132002
persistent 0.25,S1,30.0,931.61,929.2954364710173,933.9245635289827
persistent 0.25,S1,31.0,936.26,933.8461814905913,938.6738185094086
persistent 0.25,S1,32.0,940.82,938.3258904219192,943.3141095780809
persistent 0.25,S1,33.0,945.91,943.3370555737431,948.4829444262568
persistent 0.25,S1,34.0,950.99,948.3949205538718,953.5850794461282
persistent 0.25,S1,35.0,956.17,953.4808433191535,958.8591566808465
persistent 0.25,S1,36.0,961.06,958.3357531181753,963.7842468818246
persistent 0.25,S1,37.0,965.96,963.1888526727193,968.7311473272807
persistent 0.25,S1,38.0,970.74,967.9237523283847,973.5562476716153
persistent 0.25,S1,39.0,975.31,972.4630452664383,978.1569547335616
persistent 0.25,S1,40.0,980.34,977.4751744759528,983.2048255240472
persistent 0.25,S1,41.0,985.22,982.3001202415791,988.139879758421
persistent 0.25,S1,42.0,990.06,987.0840136950461,993.0359863049538
persistent 0.25,S1,43.0,995.01,992.007832352409,998.012167647591
persistent 0.25,S1,44.0,1000.04,997.0435993621976,1003.0364006378023
persistent 0.25,S1,45.0,1005.03,1002.0139104343069,1008.046089565693
persistent 0.25,S1,46.0,1009.97,1006.8494489243473,1013.0905510756528
persistent 0.25,S1,47.0,1014.99,1011.7154440599611,1018.2645559400389
persistent 0.25,S1,48.0,1020.12,1016.8252679069077,1023.4147320930923
persistent 0.25,S1,49.0,1025.74,1022.4466414615123,1029.0333585384878
persistent 0.25,S1,50.0,1030.59,1027.269947373181,1033.910052626819
persistent 0.25,S1,51.0,1035.48,1032.1353324101692,1038.8246675898308
persistent 0.25,S1,52.0,1040.82,1037.4324602232607,1044.2075397767392
persistent 0.25,S1,53.0,1045.85,1042.355221794295,1049.3447782057049
persistent 0.25,S1,54.0,1051.29,1047.741568800985,1054.8384311990148
persistent 0.25,S1,55.0,1056.54,1052.9223520596101,1060.1576479403898
persistent 0.25,S1,56.0,1061.98,1058.2642952143447,1065.6957047856554
persistent 0.25,S1,57.0,1067.61,1063.8624839140377,1071.357516085962
persistent 0.25,S1,58.0,1073.21,1069.3170886366072,1077.1029113633929
persistent 0.25,S1,59.0,1078.83,1074.867461723398,1082.7925382766018
