scenario,mode,model,AIC,BIC,max_loglik,abm::merge.p_merge,abm::phenotypes.proliferative.prolif_rate,ode::b,ode::N_0,noise::sigma0,noise::sigma1,noise::sigma2,ode::p,ode::s
abm_31_data_t71_phase2__p_merge_0p7__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_no_shed,2036.6889052457198,2050.513295804945,-1012.3444526228599,0.7,0.02,0.00021609150731391715,174.09577845777181,0.11250506331743489,0.04709544524797168,0.263684953685347,0.02717750455885319,
abm_31_data_t71_phase2__p_merge_0p7__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_cst_shed,2038.6889082837247,2054.817363936154,-1012.3444541418623,0.7,0.02,0.00021607735536284263,174.07188642862795,0.1125128752199475,0.04709262192960917,0.2636674644394523,0.027178865116963356,0.0
abm_32_data_t71_phase2__p_merge_0p8__prolif_rate_0p02,data_t71_phase2,no_prolif_no_shed,2331.318594440212,2342.838919906233,-1160.659297220106,0.8,0.02,0.00032021568515878165,2059.4072482088154,0.0288010188280454,0.3991418593736444,0.8857024705710765,,
abm_32_data_t71_phase2__p_merge_0p8__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_no_shed,2062.450526887612,2076.2749174468368,-1025.225263443806,0.8,0.02,0.00021583176827390761,167.83904880643087,0.11731429213111529,0.051099944185697875,0.27244688797942446,0.027581032388658645,
abm_32_data_t71_phase2__p_merge_0p8__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_cst_shed,2064.450529960658,2080.5789856130873,-1025.225264980329,0.8,0.02,0.00021584191943592286,167.8541992293342,0.11730889802406878,0.0510949608988118,0.27244957918403045,0.027580080688136853,0.0
abm_33_data_t71_phase2__p_merge_0p9__prolif_rate_0p02,data_t71_phase2,no_prolif_no_shed,2348.8404143596376,2360.3607398256586,-1169.4202071798188,0.9,0.02,0.0003256312789630462,2129.268590454288,0.035028492135854586,0.38401775401767435,0.8511745289618359,,
abm_33_data_t71_phase2__p_merge_0p9__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_no_shed,2070.3320597372685,2084.1564502964934,-1029.1660298686343,0.9,0.02,0.0002117646944087877,159.3867714855648,0.1234034957917473,0.05183222965382762,0.26900227689368955,0.028108358442568773,
abm_33_data_t71_phase2__p_merge_0p9__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_cst_shed,2072.332061591407,2088.4605172438364,-1029.1660307957036,0.9,0.02,0.00021175635955258991,159.37697270363554,0.12339317153659804,0.051826289995728435,0.26901254696320465,0.028108839512371586,0.0
abm_34_data_t71_phase2__p_merge_1p0__prolif_rate_0p02,data_t71_phase2,no_prolif_no_shed,2333.933492776585,2345.453818242606,-1161.9667463882924,1.0,0.02,0.00032468752431543774,2033.21081674707,0.02875656301847788,0.40254626499146956,0.8873252581075787,,
abm_34_data_t71_phase2__p_merge_1p0__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_no_shed,2060.670780523162,2074.495171082387,-1024.335390261581,1.0,0.02,0.00021926291662953648,165.60098688765973,0.11832455617174663,0.050476592458053866,0.2677514522538993,0.027716276343547376,
abm_34_data_t71_phase2__p_merge_1p0__prolif_rate_0p02,data_t71_phase2,Cell_num_prolif_cst_shed,2062.670782104599,2078.799237757028,-1024.3353910522994,1.0,0.02,0.0002192495432046776,165.5877870563835,0.11833306150307413,0.05047791318103573,0.2677606679475732,0.02771726065879829,0.0
abm_35_data_t71_phase2__p_merge_0p4__prolif_rate_0p05,data_t71_phase2,no_prolif_no_shed,2605.263114016664,2616.783439482685,-1297.631557008332,0.4,0.05,0.00034541981259495695,2574.6692572174416,0.07704308442680692,0.49873760037530024,0.9955401795237341,,
abm_35_data_t71_phase2__p_merge_0p4__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_no_shed,2432.259191139444,2446.0835816986687,-1210.129595569722,0.4,0.05,0.0001350863032195525,98.13262522418859,0.18734816083827843,0.15017920615295022,0.4167325092653983,0.03627583483851834,
abm_35_data_t71_phase2__p_merge_0p4__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_cst_shed,2434.2591887008375,2450.3876443532668,-1210.1295943504188,0.4,0.05,0.00013512385315648775,98.15217742169058,0.18733613858235268,0.1501882704697659,0.4167216583383803,0.03627402629582241,0.0
abm_36_data_t71_phase2__p_merge_0p5__prolif_rate_0p05,data_t71_phase2,no_prolif_no_shed,2624.839043433162,2636.3593688991828,-1307.419521716581,0.5,0.05,0.00035735863344190863,2592.4209989730184,0.08627054322075026,0.4978164053690365,0.9932838265313993,,
abm_36_data_t71_phase2__p_merge_0p5__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_no_shed,2453.011530422951,2466.835920982176,-1220.5057652114756,0.5,0.05,0.0001386519025450603,96.11055421752431,0.1938647778137682,0.15838861899361484,0.42923351419265304,0.03650158838040973,
abm_36_data_t71_phase2__p_merge_0p5__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_cst_shed,2455.0115305549,2471.1399862073295,-1220.50576527745,0.5,0.05,0.0001386555163158828,96.10775886013258,0.1938772745994851,0.15838536046493784,0.4292658393796985,0.03650157722464789,0.0
abm_37_data_t71_phase2__p_merge_0p6__prolif_rate_0p05,data_t71_phase2,no_prolif_no_shed,2617.520757327514,2629.0410827935348,-1303.760378663757,0.6,0.05,0.00036238078325948633,2559.006199422319,0.08278352310744441,0.495278688366931,0.9873070619653759,,
abm_37_data_t71_phase2__p_merge_0p6__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_no_shed,2444.5771248410715,2458.4015154002964,-1216.2885624205358,0.6,0.05,0.00014015362962337558,94.5065525062793,0.1909404230952535,0.15455936008339946,0.4205965058879389,0.03668374758942371,
abm_37_data_t71_phase2__p_merge_0p6__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_cst_shed,2446.577126146529,2462.705581798958,-1216.2885630732644,0.6,0.05,0.00014019149899213956,94.52335120714923,0.19094177310830512,0.15455986525291432,0.4206157904085586,0.03668158639544983,0.0
abm_38_data_t71_phase2__p_merge_0p7__prolif_rate_0p05,data_t71_phase2,no_prolif_no_shed,2617.6687140677327,2629.1890395337537,-1303.8343570338664,0.7,0.05,0.00036327541623066726,2552.3310580579127,0.08209281392181768,0.4970574192587152,0.9880494225600972,,
abm_38_data_t71_phase2__p_merge_0p7__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_no_shed,2446.846645223122,2460.6710357823467,-1217.423322611561,0.7,0.05,0.00014250088726653617,95.05131954064795,0.189937687511568,0.1565799424597577,0.42167263897579726,0.0366380208300828,
abm_38_data_t71_phase2__p_merge_0p7__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_cst_shed,2448.8466469811265,2464.9751026335557,-1217.4233234905632,0.7,0.05,0.00014250857444062962,95.04954259754504,0.18995076090289192,0.1565750326631278,0.42166153626360675,0.03663812653946851,0.0
abm_39_data_t71_phase2__p_merge_0p8__prolif_rate_0p05,data_t71_phase2,no_prolif_no_shed,2633.7589550198645,2645.2792804858855,-1311.8794775099323,0.8,0.05,0.0003738145238631379,2565.6377821926885,0.09065318922328149,0.4960231401704838,0.9858515002963447,,
abm_39_data_t71_phase2__p_merge_0p8__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_no_shed,2463.0995154571287,2476.9239060163536,-1225.5497577285644,0.8,0.05,0.00014466524926054378,93.07120014731753,0.1964074422816308,0.162433656699532,0.43275136284987875,0.03684225475553832,
abm_39_data_t71_phase2__p_merge_0p8__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_cst_shed,2465.099515470847,2481.2279711232763,-1225.5497577354236,0.8,0.05,0.00014470156601517205,93.08731061886641,0.1963882338052421,0.16243674232660868,0.4327545327696031,0.03684050312908668,0.0
abm_40_data_t71_phase2__p_merge_0p9__prolif_rate_0p05,data_t71_phase2,no_prolif_no_shed,2630.133068988788,2641.653394454809,-1310.066534494394,0.9,0.05,0.0003759300830487123,2544.943553446857,0.08767942154187587,0.4950776863461676,0.988693659081969,,
abm_40_data_t71_phase2__p_merge_0p9__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_no_shed,2459.021072374643,2472.845462933868,-1223.5105361873216,0.9,0.05,0.00014460400861618912,92.00605298179664,0.19431362928800475,0.15917090000089845,0.4308304684624643,0.03698883403860248,
abm_40_data_t71_phase2__p_merge_0p9__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_cst_shed,2461.0210731889174,2477.1495288413466,-1223.5105365944587,0.9,0.05,0.00014463917734725907,92.0217903421174,0.1943096003051189,0.15917270938994274,0.4308095823273206,0.03698723493349482,0.0
abm_41_data_t71_phase2__p_merge_1p0__prolif_rate_0p05,data_t71_phase2,no_prolif_no_shed,2645.52349329144,2657.043818757461,-1317.76174664572,1.0,0.05,0.00038223824172676927,2562.515372852935,0.09536675871202899,0.4970482720514293,0.9926463660285293,,
abm_41_data_t71_phase2__p_merge_1p0__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_no_shed,2477.397362222996,2491.221752782221,-1232.698681111498,1.0,0.05,0.00014785066459410096,91.88245076912649,0.19973636789940466,0.1674538138583987,0.4456764149277883,0.03698249139397322,
abm_41_data_t71_phase2__p_merge_1p0__prolif_rate_0p05,data_t71_phase2,Cell_num_prolif_cst_shed,2479.3973617629067,2495.525817415336,-1232.6986808814534,1.0,0.05,0.00014790276126282689,91.90063235332963,0.19972829944103387,0.16745878480846504,0.4456938059988987,0.03697994178964242,0.0
abm_42_data_t71_phase2__p_merge_0p4__prolif_rate_0p1,data_t71_phase2,no_prolif_no_shed,2705.295960150009,2716.8162856160297,-1347.6479800750044,0.4,0.1,0.000374766449952238,2730.718835138583,0.10387475140250611,0.5424640679130351,1.0550013078517302,,
abm_42_data_t71_phase2__p_merge_0p4__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_no_shed,2563.2544221316793,2577.078812690904,-1275.6272110658397,0.4,0.1,0.00015459896019134946,99.37598600563149,0.20457453808591475,0.2130996552020838,0.5151889042056296,0.037317274958825794,
abm_42_data_t71_phase2__p_merge_0p4__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_cst_shed,2565.2544215673315,2581.3828772197608,-1275.6272107836658,0.4,0.1,0.00015460390316199014,99.37865932049056,0.20459995858471827,0.21310916551664294,0.5152101945114094,0.037317081914416045,0.0
abm_43_data_t71_phase2__p_merge_0p5__prolif_rate_0p1,data_t71_phase2,no_prolif_no_shed,2720.70810734505,2732.228432811071,-1355.354053672525,0.5,0.1,0.0003868633473673681,2728.781274744864,0.11225968031091982,0.5424026775134362,1.0627135377878467,,
abm_43_data_t71_phase2__p_merge_0p5__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_no_shed,2580.108218838474,2593.932609397699,-1284.054109419237,0.5,0.1,0.00015807501607466323,97.2735423742972,0.21086651263064343,0.2194531349837672,0.5335204624021825,0.03751101377497337,
abm_43_data_t71_phase2__p_merge_0p5__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_cst_shed,2582.108219223277,2598.2366748757063,-1284.0541096116385,0.5,0.1,0.00015807708023872803,97.27499965017154,0.21086777404822302,0.21946463224432622,0.5335209476926356,0.03751091979849471,0.0
abm_44_data_t71_phase2__p_merge_0p6__prolif_rate_0p1,data_t71_phase2,no_prolif_no_shed,2704.2010462108883,2715.7213716769093,-1347.1005231054442,0.6,0.1,0.00038850768986022343,2688.0038195496495,0.10338925966358747,0.5388530557171423,1.0447308082398246,,
abm_44_data_t71_phase2__p_merge_0p6__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_no_shed,2561.5109622618484,2575.3353528210732,-1274.7554811309242,0.6,0.1,0.00015901923649177133,96.19972097381448,0.20347179188747366,0.21161339123505482,0.5085355316947718,0.03766739199445439,
abm_44_data_t71_phase2__p_merge_0p6__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_cst_shed,2563.5109624233264,2579.6394180757557,-1274.7554812116632,0.6,0.1,0.00015899525199338123,96.18855893442087,0.2034644536638843,0.21161361809250323,0.5085409716148904,0.03766878025698135,0.0
abm_45_data_t71_phase2__p_merge_0p7__prolif_rate_0p1,data_t71_phase2,no_prolif_no_shed,2712.2556030524247,2723.7759285184457,-1351.1278015262124,0.7,0.1,0.0003955196911147044,2684.428851571338,0.10791948524023386,0.5380862587972696,1.0504159281860883,,
abm_45_data_t71_phase2__p_merge_0p7__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_no_shed,2570.9276182770445,2584.7520088362694,-1279.4638091385223,0.7,0.1,0.0001616937502628221,95.29737592608444,0.20668755590610668,0.21510621840678848,0.520883750482512,0.03772907015810635,
abm_45_data_t71_phase2__p_merge_0p7__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_cst_shed,2572.927617658996,2589.0560733114253,-1279.463808829498,0.7,0.1,0.00016171824423711053,95.30425567016316,0.20667641935723055,0.21510001153791422,0.520905117594036,0.037728105332692455,0.0
abm_46_data_t71_phase2__p_merge_0p8__prolif_rate_0p1,data_t71_phase2,no_prolif_no_shed,2714.9171048519374,2726.4374303179584,-1352.4585524259687,0.8,0.1,0.0003999949433315106,2676.5676156455656,0.10947620241059262,0.5375853970073298,1.051271622475152,,
abm_46_data_t71_phase2__p_merge_0p8__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_no_shed,2574.637688792044,2588.462079351269,-1281.318844396022,0.8,0.1,0.0001638263872876401,94.77387031371559,0.20753207654997394,0.216869065771267,0.5256461443631169,0.037766093675428894,
abm_46_data_t71_phase2__p_merge_0p8__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_cst_shed,2576.6376872947944,2592.7661429472237,-1281.3188436473972,0.8,0.1,0.00016383375164064914,94.77696480501415,0.20753633881195216,0.216878723995002,0.5256086419850352,0.03776567681270095,0.0
abm_47_data_t71_phase2__p_merge_0p9__prolif_rate_0p1,data_t71_phase2,no_prolif_no_shed,2709.199262647331,2720.719588113352,-1349.5996313236656,0.9,0.1,0.00040038274552065456,2659.4347721086806,0.10583147838421715,0.5357248367017453,1.0487790131195547,,
abm_47_data_t71_phase2__p_merge_0p9__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_no_shed,2568.2903255257706,2582.1147160849955,-1278.1451627628853,0.9,0.1,0.00016429281473517976,94.43364217227347,0.20459548508813893,0.21288697776295926,0.5198412393126964,0.037817182356229787,
abm_47_data_t71_phase2__p_merge_0p9__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_cst_shed,2570.290325149031,2586.4187808014603,-1278.1451625745156,0.9,0.1,0.00016430324974180165,94.43487675952882,0.20458135180877307,0.21286729021693065,0.5198517432206643,0.03781701512183982,0.0
abm_48_data_t71_phase2__p_merge_1p0__prolif_rate_0p1,data_t71_phase2,no_prolif_no_shed,2722.729840922309,2734.25016638833,-1356.3649204611545,1.0,0.1,0.000410370345108629,2667.06360566319,0.1143230006053453,0.5375425151911759,1.0498228075053186,,
abm_48_data_t71_phase2__p_merge_1p0__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_no_shed,2582.4893225954243,2596.313713154649,-1285.2446612977121,1.0,0.1,0.00016621889841078016,92.79955041985934,0.21116930745547116,0.22042330925814638,0.5300827785436516,0.03797896806173529,
abm_48_data_t71_phase2__p_merge_1p0__prolif_rate_0p1,data_t71_phase2,Cell_num_prolif_cst_shed,2584.4893222425435,2600.6177778949727,-1285.2446611212717,1.0,0.1,0.00016621009351594948,92.79597997064191,0.21117635992019482,0.2204039385089981,0.5301379115696069,0.037979280996248616,0.0
