mode,override.movement_v2.phase2.speed_dist.params.a,override.phenotypes.proliferative.prolif_rate,scenario
singletons_phase2_fit71plus,1.5,0.008,abm_88_singletons_phase2_fit71plus__a_1p5__prolif_rate_0p008
singletons_phase2_fit71plus,1.5,0.009,abm_89_singletons_phase2_fit71plus__a_1p5__prolif_rate_0p009
singletons_phase2_fit71plus,1.5,0.01,abm_90_singletons_phase2_fit71plus__a_1p5__prolif_rate_0p01
singletons_phase2_fit71plus,1.7,0.004,abm_91_singletons_phase2_fit71plus__a_1p7__prolif_rate_0p004
singletons_phase2_fit71plus,1.7,0.005,abm_92_singletons_phase2_fit71plus__a_1p7__prolif_rate_0p005
singletons_phase2_fit71plus,1.7,0.006,abm_93_singletons_phase2_fit71plus__a_1p7__prolif_rate_0p006
singletons_phase2_fit71plus,1.7,0.007,abm_94_singletons_phase2_fit71plus__a_1p7__prolif_rate_0p007
singletons_phase2_fit71plus,1.7,0.008,abm_95_singletons_phase2_fit71plus__a_1p7__prolif_rate_0p008
singletons_phase2_fit71plus,1.7,0.009,abm_96_singletons_phase2_fit71plus__a_1p7__prolif_rate_0p009
singletons_phase2_fit71plus,1.7,0.01,abm_97_singletons_phase2_fit71plus__a_1p7__prolif_rate_0p01
singletons_phase2_fit71plus,1.9,0.004,abm_98_singletons_phase2_fit71plus__a_1p9__prolif_rate_0p004
singletons_phase2_fit71plus,1.9,0.005,abm_99_singletons_phase2_fit71plus__a_1p9__prolif_rate_0p005
singletons_phase2_fit71plus,1.9,0.006,abm_100_singletons_phase2_fit71plus__a_1p9__prolif_rate_0p006
singletons_phase2_fit71plus,1.9,0.007,abm_101_singletons_phase2_fit71plus__a_1p9__prolif_rate_0p007
singletons_phase2_fit71plus,1.9,0.008,abm_102_singletons_phase2_fit71plus__a_1p9__prolif_rate_0p008
singletons_phase2_fit71plus,1.9,0.009,abm_103_singletons_phase2_fit71plus__a_1p9__prolif_rate_0p009
singletons_phase2_fit71plus,1.9,0.01,abm_104_singletons_phase2_fit71plus__a_1p9__prolif_rate_0p01
singletons_phase2_fit71plus,2.1,0.004,abm_105_singletons_phase2_fit71plus__a_2p1__prolif_rate_0p004
singletons_phase2_fit71plus,2.1,0.005,abm_106_singletons_phase2_fit71plus__a_2p1__prolif_rate_0p005
singletons_phase2_fit71plus,2.1,0.006,abm_107_singletons_phase2_fit71plus__a_2p1__prolif_rate_0p006
singletons_phase2_fit71plus,2.1,0.007,abm_108_singletons_phase2_fit71plus__a_2p1__prolif_rate_0p007
singletons_phase2_fit71plus,2.1,0.008,abm_109_singletons_phase2_fit71plus__a_2p1__prolif_rate_0p008
singletons_phase2_fit71plus,2.1,0.009,abm_110_singletons_phase2_fit71plus__a_2p1__prolif_rate_0p009
singletons_phase2_fit71plus,2.1,0.01,abm_111_singletons_phase2_fit71plus__a_2p1__prolif_rate_0p01
singletons_phase1_to_2_fit71plus,0.7,0.004,abm_112_singletons_phase1_to_2_fit71plus__a_0p7__prolif_rate_0p004
singletons_phase1_to_2_fit71plus,0.7,0.005,abm_113_singletons_phase1_to_2_fit71plus__a_0p7__prolif_rate_0p005
singletons_phase1_to_2_fit71plus,0.7,0.006,abm_114_singletons_phase1_to_2_fit71plus__a_0p7__prolif_rate_0p006
singletons_phase1_to_2_fit71plus,0.7,0.007,abm_115_singletons_phase1_to_2_fit71plus__a_0p7__prolif_rate_0p007
